":@computed_region_dwzh_dtk5",":@computed_region_eziv_p4ck",":@computed_region_fk4y_hpmh",":@computed_region_kwzn_pe6v",":@computed_region_tmcg_v66k",":@computed_region_uh5x_q5mi","address_1","address_2","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"126","71","4","9","6","211","HOPKINS @ GOOD",,"15-0650868","BUFFALO",,,"2015-03-07T07:06:26.000","Friday","7","2015-03-06T07:35:15.000","ASSAULT","707535288","ASSAULT","42.8468872885107","POINT (-78.818186333039 42.846887288511)","-78.8181863330388","Assault","NY","2015-03-12T06:05:55.000",
"1088","39","2","11","9","6","600 Block AMHERST ST",,"18-0860829","BUFFALO","",,"2018-03-28T14:07:07.000","Tuesday","10","2006-02-21T10:16:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840205220","LARCENY/THEFT","42.93999218336202","POINT (-78.8157762658703 42.939992183362)","-78.81577626587033","Theft","NY","2018-04-04T03:42:10.000",
"2074","43","5","2","3","121","1 Block W DELAVAN AV",,"18-0880235","BUFFALO","",,"2018-03-29T14:38:13.000","Monday","12","2008-05-19T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840286437","LARCENY/THEFT","42.92180189220275","POINT (-78.8958289962696 42.9218018922028)","-78.89582899626964","Theft","NY","2018-04-06T09:41:14.000",
"1267","38","2","18","9","258","2100 Block MAIN ST",,"18-0830493","BUFFALO","",,"2018-03-25T20:25:50.000","Thursday","12","2017-03-16T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839242924","LARCENY/THEFT","42.92880507442883","POINT (-78.84993702635 42.9288050744288)","-78.84993702635","Theft","NY","2018-04-01T03:50:32.000",
"2507","28","3","8","2","221","400 Block GOETHE ST",,"18-0830398","BUFFALO","",,"2018-03-24T17:46:07.000","Saturday","12","2018-02-17T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839173281","LARCENY/THEFT","42.89645133401688","POINT (-78.7995278254838 42.8964513340169)","-78.79952782548384","Theft","NY","2018-04-01T03:50:32.000",
"2992","71","4","9","6","16","1 Block BLOOMFIELD AV",,"18-0830564","BUFFALO","",,"2018-03-24T21:16:43.000","Tuesday","12","2018-03-13T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839182370","LARCENY/THEFT","42.84558863103382","POINT (-78.8225442474887 42.8455886310338)","-78.8225442474887","Theft","NY","2018-04-01T03:50:32.000",
,,,"6",,,"MAIN ST & BAILEY AV",,"15-0050333","BUFFALO",,,"2015-01-06T07:06:00.000","Wednesday","12","2014-10-01T12:00:00.000","UUV","653555213","UUV","42.9595218","POINT (-78.8138473 42.9595218)","-78.8138473","Theft of Vehicle","NY","2015-01-08T07:06:02.000","14215"
"1249","56","2","18","8","257","1 Block WINSPEAR AV",,"18-0830717","BUFFALO","",,"2018-03-26T06:07:08.000","Saturday","3","2018-03-17T03:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839299187","BURGLARY","42.95092311207288","POINT (-78.8240349902802 42.9509231120729)","-78.82403499028024","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"2744","43","5","2","3","121","1 Block LAFAYETTE AV",,"18-0830347","BUFFALO","",,"2018-03-24T17:46:07.000","Friday","1","2018-03-23T01:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839173280","BURGLARY","42.919823168632725","POINT (-78.896976347252 42.9198231686327)","-78.89697634725195","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"1538","44","4","9","6","82","1 Block CUMBERLAND AV",,"18-0830520","BUFFALO","",,"2018-03-24T21:16:43.000","Friday","2","2018-03-23T02:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839182369","LARCENY/THEFT","42.85807531429012","POINT (-78.8216227266749 42.8580753142901)","-78.82162272667495","Theft","NY","2018-04-01T03:50:32.000",
"80","56","2","18","8","216","100 Block W NORTHRUP PL",,"18-0830783","BUFFALO","",,"2018-03-25T04:01:00.000","Friday","3","2018-03-23T03:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839200035","BURGLARY","42.95068789626519","POINT (-78.8313925281252 42.9506878962652)","-78.83139252812525","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"1002","35","1","14","4","153","800 Block ELLICOTT ST",,"18-0830345","BUFFALO","",,"2018-03-24T20:10:21.000","Friday","10","2018-03-23T10:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839180649","UUV","42.90053444734188","POINT (-78.8650426745302 42.9005344473419)","-78.86504267453017","Theft of Vehicle","NY","2018-04-01T03:50:32.000",
"2037","7","2","11","8","66","300 Block DARTMOUTH AV",,"18-0830443","BUFFALO","",,"2018-03-24T21:16:43.000","Friday","10","2018-03-23T10:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839182368","LARCENY/THEFT","42.943208204461065","POINT (-78.8129499131828 42.9432082044611)","-78.81294991318279","Theft","NY","2018-04-01T03:50:32.000",
"2656","41","1","2","3","119","1 Block BREMEN ST",,"18-0830399","BUFFALO","",,"2018-03-24T19:04:53.000","Friday","11","2018-03-23T11:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839178845","LARCENY/THEFT","42.91057617425151","POINT (-78.8868508118052 42.9105761742515)","-78.8868508118052","Theft","NY","2018-04-01T03:50:32.000",
"2186","33","2","22","9","154","1 Block HUGHES AV",,"18-0830180","BUFFALO","",,"2018-03-24T13:42:14.000","Saturday","1","2018-03-24T01:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839165194","BURGLARY","42.92432641182128","POINT (-78.8525686136047 42.9243264118213)","-78.85256861360467","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"3046","16","2","11","9","285","700 Block E DELAVAN AV",,"15-2481192","BUFFALO",,,"2015-09-07T06:07:28.000","Saturday","12","2015-09-05T12:00:00.000","UUV","729564072","UUV","42.9223468619834","POINT (-78.829972057501 42.922346861983)","-78.8299720575015","Theft of Vehicle","NY","2015-09-12T06:08:42.000",
"2726","3","3","17","2","171","1000 Block E LOVEJOY ST",,"18-0830600","BUFFALO","",,"2018-03-24T23:04:20.000","Saturday","5","2018-03-24T05:17:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839186394","BURGLARY","42.8895482","POINT (-78.8104561 42.8895482)","-78.8104561","Breaking & Entering","NY","2018-04-01T03:50:32.000","14206"
"80","56","2","18","8","216","100 Block CUSTER ST",,"18-0830307","BUFFALO","",,"2018-03-24T16:50:11.000","Saturday","5","2018-03-24T05:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839171804","BURGLARY","42.95038631748629","POINT (-78.8312792599097 42.9503863174863)","-78.83127925990968","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"2059","31","4","16","5","38","100 Block FULTON ST",,"18-0830775","BUFFALO","",,"2018-03-28T15:40:52.000","Saturday","5","2018-03-24T05:32:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840211679","UUV","42.87271046634883","POINT (-78.8654383705783 42.8727104663488)","-78.8654383705783","Theft of Vehicle","NY","2018-04-01T03:50:32.000",
"207","59","2","22","9","4","300 Block NORTHLAND AV",,"18-0830625","BUFFALO","",,"2018-03-25T00:11:30.000","Saturday","5","2018-03-24T05:45:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839188326","ASSAULT","42.919507698527944","POINT (-78.8480675865779 42.9195076985279)","-78.84806758657786","Assault","NY","2018-04-01T03:50:32.000",
"2595","31","4","19","5","2","600 Block PERRY ST",,"18-0830742","BUFFALO","",,"2018-03-25T06:40:36.000","Saturday","6","2018-03-24T06:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839206745","UUV","42.871712","POINT (-78.852415 42.871712)","-78.85241500000001","Theft of Vehicle","NY","2018-04-01T03:50:32.000","14210"
"2317","31","4","16","4","252","1 Block SPRING ST",,"18-0830819","BUFFALO","",,"2018-03-25T06:40:36.000","Saturday","9","2018-03-24T09:20:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839206743","ROBBERY","42.87915076454229","POINT (-78.8573715740381 42.8791507645423)","-78.85737157403811","Robbery","NY","2018-04-01T03:50:32.000",
"2782","1","4","9","2","44","100 Block SPAULDING ST",,"18-0830601","BUFFALO","",,"2018-03-24T23:04:20.000","Saturday","10","2018-03-24T10:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839186393","BURGLARY","42.853700370177165","POINT (-78.8273864851453 42.8537003701772)","-78.82738648514527","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"952","74","4","9","6","167","1 Block CULVER RD",,"18-0830875","BUFFALO","",,"2018-03-25T06:40:36.000","Saturday","10","2018-03-24T10:45:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839206744","UUV","42.83936365691605","POINT (-78.8207678178963 42.839363656916)","-78.82076781789632","Theft of Vehicle","NY","2018-04-01T03:50:32.000",
"2447","34","3","8","5","264","1 Block BRIGHTON AV",,"18-0830319","BUFFALO","",,"2018-03-24T16:50:11.000","Saturday","11","2018-03-24T11:22:58.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839171805","UUV","42.89312224831036","POINT (-78.8310497411331 42.8931222483104)","-78.83104974113311","Theft of Vehicle","NY","2018-04-01T03:50:32.000",
"879","70","5","5","1","94","2300 Block DELAWARE AV",,"18-0830419","BUFFALO","",,"2018-03-24T21:16:43.000","Saturday","11","2018-03-24T11:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839182366","LARCENY/THEFT","42.948048823907335","POINT (-78.8688449435281 42.9480488239073)","-78.86884494352807","Theft","NY","2018-04-01T03:50:32.000",
